investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,transaction_id
INV003054,2024-01-01,119092,SIP,1834,Telangana,Hyderabad,T30,56+,Female,77.1,UPI,Verified,TX_000000
INV002952,2024-01-01,148567,REDEMPTION,392882,Punjab,Amritsar,B30,18-25,Male,7.1,Cheque,Verified,TX_000001
INV003420,2024-01-01,118636,SIP,912,Haryana,Faridabad,B30,36-45,Male,47.2,Mandate,Verified,TX_000002
INV003436,2024-01-01,118634,SIP,1102,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,Pending,TX_000003
INV004691,2024-01-01,119094,LUMPSUM,8682,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,Pending,TX_000004
INV001497,2024-01-01,101208,SIP,3295,Maharashtra,Mumbai,T30,36-45,Male,56.8,Mandate,Verified,TX_000005
INV000786,2024-01-01,101208,SIP,15047,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Mandate,Verified,TX_000006
INV000616,2024-01-01,100016,SIP,933,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,Verified,TX_000007
INV003670,2024-01-01,119120,SIP,10672,Punjab,Chandigarh,T30,36-45,Male,38.4,Net Banking,Verified,TX_000008
INV002054,2024-01-01,148567,SIP,1111,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,Verified,TX_000009
INV002592,2024-01-01,101208,LUMPSUM,411860,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Mandate,Verified,TX_000010
INV001023,2024-01-01,118636,SIP,4865,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Net Banking,Verified,TX_000011
INV002893,2024-01-01,120843,SIP,8472,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,Pending,TX_000012
INV000797,2024-01-01,102885,SIP,58257,Rajasthan,Jaipur,T30,36-45,Female,53.7,Net Banking,Verified,TX_000013
INV000368,2024-01-01,118636,REDEMPTION,339882,Uttar Pradesh,Agra,B30,26-35,Male,16.2,UPI,Verified,TX_000014
INV000548,2024-01-01,119095,SIP,1607,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,Verified,TX_000015
INV000600,2024-01-01,149322,SIP,20890,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,Verified,TX_000016
INV004347,2024-01-01,119599,SIP,1862,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,Verified,TX_000017
INV000437,2024-01-01,120504,SIP,900,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,Verified,TX_000018
INV000609,2024-01-01,120842,SIP,8493,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,Verified,TX_000019
INV000428,2024-01-01,118636,SIP,9146,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,Verified,TX_000020
INV003329,2024-01-01,101207,LUMPSUM,295055,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,Verified,TX_000021
INV000968,2024-01-01,100025,LUMPSUM,497564,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,Verified,TX_000022
INV004154,2024-01-01,102885,SIP,1897,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,Verified,TX_000023
INV000234,2024-01-01,148567,SIP,28094,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,Verified,TX_000024
INV002885,2024-01-01,148567,LUMPSUM,430566,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,Pending,TX_000025
INV002157,2024-01-01,102885,LUMPSUM,112928,Punjab,Chandigarh,T30,26-35,Male,16.9,Mandate,Verified,TX_000026
INV001665,2024-01-01,120505,SIP,3322,Telangana,Hyderabad,T30,36-45,Male,35.1,Mandate,Verified,TX_000027
INV002328,2024-01-01,120841,SIP,29901,Haryana,Gurugram,T30,26-35,Male,11.6,Cheque,Verified,TX_000028
INV004174,2024-01-01,119599,SIP,57353,Rajasthan,Udaipur,B30,18-25,Male,4.7,Mandate,Verified,TX_000029
INV004918,2024-01-01,120503,REDEMPTION,153828,Punjab,Amritsar,B30,56+,Female,46.9,UPI,Verified,TX_000030
INV000478,2024-01-01,120506,SIP,59382,Gujarat,Surat,T30,36-45,Female,16.5,UPI,Verified,TX_000031
INV000467,2024-01-01,119552,SIP,2623,Karnataka,Bangalore,T30,18-25,Female,7.1,Cheque,Verified,TX_000032
INV000603,2024-01-01,118636,SIP,2858,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,Verified,TX_000033
INV004770,2024-01-01,102886,LUMPSUM,92031,Gujarat,Surat,T30,18-25,Female,5.2,Mandate,Verified,TX_000034
INV004648,2024-01-01,118634,SIP,17860,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,Pending,TX_000035
INV002432,2024-01-01,101208,SIP,3513,Haryana,Gurugram,T30,46-55,Female,48.1,Net Banking,Verified,TX_000036
INV002338,2024-01-01,120844,LUMPSUM,292991,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,Verified,TX_000037
INV001041,2024-01-01,101208,SIP,8547,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,Verified,TX_000038
INV001400,2024-01-01,148567,SIP,10696,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,Verified,TX_000039
INV000852,2024-01-01,101208,SIP,15916,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,Verified,TX_000040
INV004915,2024-01-01,120504,SIP,14096,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Cheque,Verified,TX_000041
INV002984,2024-01-01,120844,REDEMPTION,230179,Delhi,Gurugram,T30,26-35,Male,18.1,Mandate,Verified,TX_000042
INV002782,2024-01-01,102886,LUMPSUM,250209,Punjab,Chandigarh,T30,18-25,Male,3.7,UPI,Verified,TX_000043
INV002316,2024-01-01,118632,SIP,4715,Punjab,Amritsar,B30,26-35,Male,16.7,Cheque,Verified,TX_000044
INV000097,2024-01-01,125498,REDEMPTION,527377,Karnataka,Mysore,B30,18-25,Male,6.0,Net Banking,Verified,TX_000045
INV002139,2024-01-01,125498,REDEMPTION,359482,Haryana,Gurugram,T30,36-45,Female,28.6,Mandate,Verified,TX_000046
INV002219,2024-01-01,101208,REDEMPTION,525983,Karnataka,Mysore,B30,26-35,Male,6.9,Mandate,Verified,TX_000047
INV000576,2024-01-01,120841,REDEMPTION,43157,Delhi,New Delhi,T30,46-55,Male,79.7,UPI,Verified,TX_000048
INV002166,2024-01-01,120844,SIP,1139,Haryana,Gurugram,T30,36-45,Male,33.3,Net Banking,Verified,TX_000049
INV000836,2024-01-01,100016,SIP,1139,Haryana,Gurugram,T30,26-35,Male,24.4,Mandate,Verified,TX_000050
INV001540,2024-01-01,101207,SIP,16264,Maharashtra,Pune,T30,26-35,Female,17.3,UPI,Verified,TX_000051
INV003664,2024-01-01,125498,SIP,15555,Rajasthan,Udaipur,B30,46-55,Male,29.4,UPI,Verified,TX_000052
INV002966,2024-01-01,149324,SIP,15946,Gujarat,Ahmedabad,T30,26-35,Female,18.4,Mandate,Verified,TX_000053
INV002387,2024-01-01,118634,SIP,2891,Telangana,Hyderabad,T30,26-35,Male,13.1,UPI,Verified,TX_000054
INV000983,2024-01-01,101206,SIP,3538,Telangana,Hyderabad,T30,36-45,Male,33.5,UPI,Verified,TX_000055
INV004128,2024-01-01,119094,REDEMPTION,58934,Haryana,Faridabad,B30,18-25,Male,3.3,UPI,Verified,TX_000056
INV000081,2024-01-01,120844,SIP,1842,Gujarat,Surat,T30,36-45,Male,31.0,Net Banking,Verified,TX_000057
INV004548,2024-01-01,119551,LUMPSUM,564276,Delhi,Noida,T30,36-45,Female,58.1,Cheque,Verified,TX_000058
INV002253,2024-01-01,120844,REDEMPTION,289915,West Bengal,Kolkata,T30,46-55,Male,28.6,Net Banking,Verified,TX_000059
INV002942,2024-01-01,148568,REDEMPTION,233200,Delhi,Noida,T30,36-45,Male,27.8,Cheque,Verified,TX_000060
INV004308,2024-01-01,119599,SIP,25855,Gujarat,Surat,T30,26-35,Female,11.1,Mandate,Verified,TX_000061
INV000488,2024-01-01,148568,REDEMPTION,343317,Karnataka,Mysore,B30,56+,Male,31.4,Cheque,Verified,TX_000062
INV002560,2024-01-02,119120,SIP,6321,Haryana,Faridabad,B30,26-35,Male,6.4,Net Banking,Verified,TX_000063
INV003028,2024-01-02,100033,SIP,25360,Tamil Nadu,Chennai,T30,26-35,Female,12.8,Cheque,Verified,TX_000064
INV002868,2024-01-02,148569,SIP,59797,Gujarat,Ahmedabad,T30,26-35,Female,24.7,Net Banking,Verified,TX_000065
INV001156,2024-01-02,120843,SIP,28986,Madhya Pradesh,Indore,T30,56+,Female,58.8,Cheque,Pending,TX_000066
INV000313,2024-01-02,120843,LUMPSUM,497034,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Net Banking,Verified,TX_000067
INV003926,2024-01-02,118632,SIP,1891,West Bengal,Kolkata,T30,46-55,Male,92.8,UPI,Verified,TX_000068
INV003383,2024-01-02,125497,REDEMPTION,241316,Karnataka,Mysore,B30,18-25,Male,4.6,Net Banking,Verified,TX_000069
INV001017,2024-01-02,118632,REDEMPTION,16893,West Bengal,Kolkata,T30,26-35,Female,19.0,Cheque,Verified,TX_000070
INV003225,2024-01-02,120843,SIP,3346,West Bengal,Kolkata,T30,26-35,Male,9.2,UPI,Verified,TX_000071
INV003892,2024-01-02,102887,SIP,7250,Punjab,Amritsar,B30,46-55,Male,24.4,Mandate,Verified,TX_000072
INV002135,2024-01-02,100016,LUMPSUM,437305,Gujarat,Ahmedabad,T30,56+,Male,18.3,Net Banking,Verified,TX_000073
INV002961,2024-01-02,149322,SIP,16811,Gujarat,Ahmedabad,T30,26-35,Male,13.0,Net Banking,Verified,TX_000074
INV000983,2024-01-02,101208,SIP,10547,Telangana,Hyderabad,T30,36-45,Male,33.5,Net Banking,Verified,TX_000075
INV003821,2024-01-02,119092,SIP,7584,Delhi,Noida,T30,18-25,Female,6.4,UPI,Pending,TX_000076
INV002940,2024-01-02,102886,SIP,966,Haryana,Faridabad,B30,26-35,Male,18.3,Cheque,Verified,TX_000077
INV002817,2024-01-02,102886,LUMPSUM,26453,Gujarat,Ahmedabad,T30,26-35,Male,15.8,UPI,Verified,TX_000078
INV001890,2024-01-02,120504,SIP,859,Madhya Pradesh,Bhopal,B30,26-35,Male,21.9,Mandate,Verified,TX_000079
INV001888,2024-01-02,120505,REDEMPTION,410786,Delhi,New Delhi,T30,18-25,Female,6.4,UPI,Verified,TX_000080
INV000370,2024-01-02,118634,SIP,17394,Delhi,Noida,T30,26-35,Female,12.4,Mandate,Verified,TX_000081
INV002981,2024-01-02,102886,LUMPSUM,100110,Maharashtra,Mumbai,T30,18-25,Female,7.3,Mandate,Verified,TX_000082
INV003027,2024-01-02,148569,LUMPSUM,330642,Telangana,Hyderabad,T30,26-35,Male,20.8,Cheque,Verified,TX_000083
INV001106,2024-01-02,118636,LUMPSUM,50410,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Net Banking,Verified,TX_000084
INV003942,2024-01-02,118632,SIP,16594,Haryana,Faridabad,B30,26-35,Female,23.3,Cheque,Verified,TX_000085
INV000339,2024-01-02,101207,REDEMPTION,383487,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Cheque,Verified,TX_000086
INV002811,2024-01-02,125497,SIP,2631,Uttar Pradesh,Agra,B30,36-45,Male,43.7,Net Banking,Verified,TX_000087
INV004296,2024-01-02,100025,SIP,879,Telangana,Hyderabad,T30,26-35,Male,18.2,UPI,Verified,TX_000088
